CLIENTE,SUFFISSO,LAST_ID,MAX_ID
BELLINI_MEDA
BELLINI_MEDA,BM,309,311
MANNI,MAN,96,97
PATA,PATA,28,180
STUDIO_AUTOMAZIONE,SA,71,69
ELI,ELI,1,2
ELETTRO_DIMENSIONE,ELD,1,10
ELMAN,ELM,1,16
EUROSISTEMI,EUR,1,2
FARO,FAR,1,10
FREDDI,FRE,1,25
MITCOM,MIT,1,4
OYSTER,OYS,1,36
SACMI,SAC,1,10
BRB,BRB,1,6
PAGLIARI,PAGLI,1,3
POLI,POLI,1,1
DORO,DORO,1,1
RENI,RENI,1,27
ZIEMANN,ZIEMANN,1,1
